Alias,Localization,IP
ypfJ,IntegralMembraneProtein,6.56
ybjL,IntegralMembraneProtein,6.49
tesA,Periplasmic,6.46
yeeA,IntegralMembraneProtein,6.4
mdtL,IntegralMembraneProtein,6.37
ydgK,IntegralMembraneProtein,6.35
yfiR,-,6.3
yicL,IntegralMembraneProtein,6.29
yigM,IntegralMembraneProtein,6.23
ynfA,IntegralMembraneProtein,6.22
crcB,IntegralMembraneProtein,6.2
yghB,IntegralMembraneProtein,6.19
yciB,IntegralMembraneProtein,6.17
aaeA,IntegralMembraneProtein,6.14
secG,IntegralMembraneProtein,6.06
znuB,IntegralMembraneProtein,6.06
rarD,IntegralMembraneProtein,6.03
ybhQ,IntegralMembraneProtein,6.02
setA,IntegralMembraneProtein,5.98
ycaD,IntegralMembraneProtein,5.97
ydiK,IntegralMembraneProtein,5.94
ygaH,IntegralMembraneProtein,5.92
yifK,IntegralMembraneProtein,5.91
yjeM,IntegralMembraneProtein,5.91
rbsC,IntegralMembraneProtein,5.9
yedR,IntegralMembraneProtein,5.9
lgt,IntegralMembraneProtein,5.71
yebO,IntegralMembraneProtein,5.71
yedQ,IntegralMembraneProtein,5.71
nuoM,IntegralMembraneProtein,5.7
ccmG,IntegralMembraneProtein,5.68
ynfM,IntegralMembraneProtein,5.66
wecH,IntegralMembraneProtein,5.64
yddG,IntegralMembraneProtein,5.64
acrB,IntegralMembraneProtein,5.61
nepI,IntegralMembraneProtein,5.61
tqsA,IntegralMembraneProtein,5.61
yijD,IntegralMembraneProtein,5.6
yceG,Membrane-anchored,5.6
yaaH,IntegralMembraneProtein,5.58
wzyE,IntegralMembraneProtein,5.55
yicN,Membrane-anchored,5.55
hemY,IntegralMembraneProtein,5.54
kgtP,IntegralMembraneProtein,5.54
yhgN,IntegralMembraneProtein,5.54
tatE,Membrane-anchored,5.54
mrdB,IntegralMembraneProtein,5.53
trkD,IntegralMembraneProtein,5.49
sucB,Cytoplasmic,5.48
pgsA,IntegralMembraneProtein,5.47
pstA,IntegralMembraneProtein,5.44
yqeG,IntegralMembraneProtein,5.44
ybdF,Cytoplasmic,5.42
yedV,IntegralMembraneProtein,5.41
yjhB,IntegralMembraneProtein,5.4
marC,IntegralMembraneProtein,5.38
ybiR,IntegralMembraneProtein,5.37
qseC,IntegralMembraneProtein,5.36
potB,IntegralMembraneProtein,5.35
ylaC,IntegralMembraneProtein,5.35
ubiA,IntegralMembraneProtein,5.34
yfjW,IntegralMembraneProtein,5.33
yfhB,Membrane-anchored,5.33
proY,IntegralMembraneProtein,5.32
sdhD,IntegralMembraneProtein,5.32
trkG,IntegralMembraneProtein,5.32
nuoJ,IntegralMembraneProtein,5.29
ybjG,IntegralMembraneProtein,5.29
modB,IntegralMembraneProtein,5.28
yigF,IntegralMembraneProtein,5.24
ydjN,IntegralMembraneProtein,5.23
yieG,IntegralMembraneProtein,5.22
mdtI,IntegralMembraneProtein,5.21
eptA,IntegralMembraneProtein,5.2
yaiY,IntegralMembraneProtein,5.2
yeiS,IntegralMembraneProtein,5.19
leuE,IntegralMembraneProtein,5.14
rseC,IntegralMembraneProtein,5.13
yadH,IntegralMembraneProtein,5.12
cyoE,IntegralMembraneProtein,5.1
ybiP,IntegralMembraneProtein,5.09
artM,IntegralMembraneProtein,5.08
rnfD,IntegralMembraneProtein,5.07
ybhS,IntegralMembraneProtein,5.07
ccmC,IntegralMembraneProtein,5.05
araJ,IntegralMembraneProtein,5.04
sstT,IntegralMembraneProtein,5.01
tdcC,IntegralMembraneProtein,5.01
yqjA,IntegralMembraneProtein,4.97
qmcA,IntegralMembraneProtein,4.95
yebQ,IntegralMembraneProtein,4.92
sdaC,IntegralMembraneProtein,4.91
damX,Membrane-anchored,4.91
nuoK,IntegralMembraneProtein,4.88
mdlA,IntegralMembraneProtein,4.87
yeaN,IntegralMembraneProtein,4.85
cysZ,IntegralMembraneProtein,4.84
livM,IntegralMembraneProtein,4.83
fhuB,IntegralMembraneProtein,4.79
hcaT,IntegralMembraneProtein,4.76
hisM,IntegralMembraneProtein,4.76
yjcE,IntegralMembraneProtein,4.76
sugE,IntegralMembraneProtein,4.74
yjeH,IntegralMembraneProtein,4.72
mreC,Membrane-anchored,4.7
bcsF,Membrane-anchored,4.69
rcsD,Membrane-anchored,4.66
ypjD,IntegralMembraneProtein,4.65
argO,IntegralMembraneProtein,4.64
menA,IntegralMembraneProtein,4.64
yejB,IntegralMembraneProtein,4.64
yfeH,IntegralMembraneProtein,4.64
nirC,IntegralMembraneProtein,4.63
rfc,IntegralMembraneProtein,4.57
rfe,IntegralMembraneProtein,4.57
htpX,IntegralMembraneProtein,4.54
rfaL,IntegralMembraneProtein,4.53
tolQ,IntegralMembraneProtein,4.52
aaeB,IntegralMembraneProtein,4.49
yfeZ,IntegralMembraneProtein,4.48
mtgA,Membrane-anchored,4.42
rsxA,IntegralMembraneProtein,4.4
yohK,IntegralMembraneProtein,4.39
hybB,IntegralMembraneProtein,4.38
feoB,IntegralMembraneProtein,4.35
lysP,IntegralMembraneProtein,4.35
arsB,IntegralMembraneProtein,4.33
secD,IntegralMembraneProtein,4.33
tppB,IntegralMembraneProtein,4.32
manY,IntegralMembraneProtein,4.31
djlA,Membrane-anchored,4.3
ybhR,IntegralMembraneProtein,4.29
yecN,IntegralMembraneProtein,4.26
atpF,Membrane-anchored,4.26
